Index,claims.sa,claims.nsa,Jobs,Welfare...Unemployment
2009/07/04,579000,585963,-3.35085727950576,35.0566427199334
2009/07/11,547000,677038,-0.59800870717465,47.1356671332638
2009/07/18,565000,590730,-0.50837847541663,41.6503169345784
2009/07/25,581000,516351,-3.90241212184859,32.4762885674948
2009/08/01,555000,470988,0.70355425585581,39.8736884863354
2009/08/08,551000,486586,-2.83333652229195,53.4139456976275
2009/08/15,565000,461780,0.3440584442876,48.5256315333196
2009/08/22,565000,460998,-1.06809131457319,42.9343405929916
2009/08/29,564000,460525,0.23404466426773,51.2001925288801
2009/09/05,559000,470079,-0.32096221407063,48.0374730143513
2009/09/12,548000,414557,-6.8759691346193,43.7318963949345
2009/09/19,537000,441311,-5.41028147504471,45.4269797014786
2009/09/26,548000,449620,-1.51602240743323,50.4077772856186
2009/10/03,535000,456233,-3.47890619629279,43.9600034443277
2009/10/10,515000,513852,0.55821001674569,55.3693724636155
2009/10/17,538000,464985,-1.57397663322625,44.0488466881262
2009/10/24,531000,499374,-0.70616326999685,46.0140352268339
2009/10/31,523000,487714,-1.55263562571491,42.5506523049835
2009/11/07,511000,537230,-1.11339371026768,63.6586979751529
2009/11/14,513000,479350,-3.5207540104002,57.6407640058249
2009/11/21,486000,547022,2.07188565771039,42.1942585651445
2009/11/28,477000,462090,-16.049760397008,31.0334674001904
2009/12/05,491000,673097,-4.31426357848448,36.4441049217618
2009/12/12,496000,561655,-5.5893669885249,33.975137178602
2009/12/19,477000,571378,-2.86447042352323,38.5061693920137
2009/12/26,465000,561852,-12.568145238626,38.6086301281523
2010/01/02,462000,651215,-17.9331377195514,35.4258475080256
2010/01/09,468000,825891,-6.55877323692429,40.7621143296814
2010/01/16,501000,659173,0.8155912914614,41.5983810905819
2010/01/23,470000,507651,-2.93504418361625,45.1846478765346
2010/01/30,501000,538617,41.6893204187994,34.8959146069314
2010/02/06,452000,512463,8.1874634616151,39.5909037190648
2010/02/13,487000,482078,0.43560663388581,32.910892871398
2010/02/20,485000,458160,-2.06625028239856,39.7308819434179
2010/02/27,475000,474662,0.55689284451624,40.8008710621506
2010/03/06,462000,462679,-0.94099858072313,61.9908068278425
2010/03/13,464000,439061,2.06110988353289,44.5557426114375
2010/03/20,460000,413067,1.06321832813207,45.7456783233892
2010/03/27,452000,412710,4.56532687153597,41.685614166531
2010/04/03,472000,421130,6.4449487860884,59.1005117817364
2010/04/10,477000,514136,21.4495707547467,41.7654094179991
2010/04/17,469000,436814,7.32919262604418,56.0553070201229
2010/04/24,457000,429196,6.20881454059662,37.5952046403541
2010/05/01,460000,399350,6.58948095216688,33.0433334742367
2010/05/08,455000,414327,6.3451473683291,37.1164623239526
2010/05/15,477000,414572,6.60081378446635,32.3145911723481
2010/05/22,467000,410778,9.10648022676726,31.8877200149742
2010/05/29,464000,418873,9.1157215117929,32.5466884900317
2010/06/05,464000,398864,4.37496278642002,34.2056569297168
2010/06/12,474000,448305,7.25920412395272,38.8646254348173
2010/06/19,463000,427080,5.01844542257455,44.773593853569
2010/06/26,472000,444712,6.021294054062,61.9776182644886
2010/07/03,460000,470366,4.64914272049424,69.0566427199334
2010/07/10,440000,515991,-2.59800870717465,49.1356671332638
2010/07/17,466000,502065,2.49162152458337,82.6503169345784
2010/07/24,457000,413679,1.09758787815141,111.476288567495
2010/07/31,474000,402140,1.70355425585581,44.8736884863354
2010/08/07,478000,425471,2.16666347770805,30.4139456976275
2010/08/14,488000,405484,7.3440584442876,30.5256315333196
2010/08/21,469000,384955,1.93190868542681,24.9343405929916
2010/08/28,468000,383135,5.23404466426773,26.2001925288801
2010/09/04,455000,381863,3.67903778592937,23.0374730143513
2010/09/11,450000,341791,-2.8759691346193,22.7318963949345
2010/09/18,463000,382341,2.58971852495529,24.4269797014786
2010/09/25,450000,372551,1.48397759256677,16.4077772856186
2010/10/02,449000,373681,-0.47890619629279,18.9600034443277
2010/10/09,463000,462667,0.55821001674569,19.3693724636155
2010/10/16,452000,394016,-1.57397663322625,19.0488466881262
2010/10/23,435000,408489,-0.70616326999685,21.0140352268339
2010/10/30,454000,421097,0.44736437428509,15.5506523049835
2010/11/06,436000,452657,1.88660628973232,20.6586979751529
2010/11/13,441000,409548,5.4792459895998,20.6407640058249
2010/11/20,416000,464817,11.0718856577104,31.1942585651445
2010/11/27,439000,412922,0.95023960299202,10.0334674001904
2010/12/04,425000,585711,6.68573642151552,45.4441049217618
2010/12/11,427000,491776,9.4106330114751,48.975137178602
2010/12/18,423000,495548,10.1355295764768,51.5061693920137
2010/12/25,404000,525710,7.431854761374,25.6086301281523
2011/01/01,418000,578904,-1.93313771955144,8.42584750802558
2011/01/08,437000,773499,-3.55877323692429,38.7621143296814
2011/01/15,415000,549688,-4.1844087085386,28.5983810905819
2011/01/22,443000,485950,-2.93504418361625,33.1846478765346
2011/01/29,424000,464775,-5.31067958120062,32.8959146069314
2011/02/05,391000,440706,-5.8125365383849,26.5909037190648
2011/02/12,420000,424400,2.43560663388581,30.9108928713981
2011/02/19,384000,380985,-3.06625028239856,25.7308819434179
2011/02/26,375000,353797,-1.44310715548376,18.8008710621506
2011/03/05,405000,407299,23.0590014192769,20.9908068278425
2011/03/12,390000,371721,12.0611098835329,19.5557426114375
2011/03/19,394000,354457,7.06321832813207,16.7456783233892
2011/03/26,392000,357457,4.56532687153597,18.685614166531
2011/04/02,385000,353817,3.4449487860884,18.1005117817364
2011/04/09,416000,448029,-3.5504292452533,21.7654094179991
2011/04/16,404000,381834,-2.67080737395582,22.0553070201229
2011/04/23,431000,387867,-7.79118545940338,19.5952046403541
2011/04/30,478000,415974,-4.41051904783312,22.0433334742367
2011/05/07,438000,397737,-4.6548526316709,21.1164623239526
2011/05/14,414000,361573,-2.39918621553365,23.3145911723481
2011/05/21,429000,376252,2.10648022676726,24.8877200149742
2011/05/28,426000,381497,0.11572151179291,21.5466884900317
2011/06/04,430000,366816,-8.62503721357998,20.2056569297168
2011/06/11,420000,400608,-1.74079587604728,22.8646254348173
2011/06/18,429000,394286,-1.98155457742545,21.773593853569
2011/06/25,432000,406633,-0.978705945938,13.9776182644886
2011/07/02,427000,425640,-0.35085727950576,17.0566427199334
